Campaign_ID,Product_Category,Platform,Content_Type,Views,Likes,Shares,Comments,Engagement_Rate,Baseline_Sales_EUR,Post_Campaign_Sales_EUR,Sales_Increase_Pct,ROI_Pct,Went_Viral
CAMP_001,Electronics,TikTok,Unboxing,7464726.0,631354,104173,50508,10.529991321851599,16240.745617697461,35208.33466254468,116.7901369268313,339.87002361808504,True
CAMP_002,Home & Living,YouTube Shorts,Behind-the-Scenes,1816891.0,60656,8188,4852,4.056159670558113,47542.10836063001,51903.683594968825,9.174130859435488,29.22893343897236,False
CAMP_003,Beauty,Instagram Reels,Behind-the-Scenes,1160448.0,58842,7943,4707,6.160724134127509,30990.986410335565,35244.40908126064,13.724708902800677,77.80665509373692,False
CAMP_004,Electronics,YouTube Shorts,Behind-the-Scenes,2004354.0,72843,9833,5827,4.415537375134333,25298.47965068651,29157.443160129413,15.253736836071838,39.91633870512093,False
CAMP_005,Home & Living,YouTube Shorts,Comedy,3466664.0,197703,47448,15816,7.527900021461555,48625.28132298237,84910.2388674468,74.6215889291207,450.96118081277916,True
CAMP_006,Home & Living,Instagram Reels,Review,4927821.6,219098,32864,17527,5.468724760652862,34399.86631130484,52336.52965426797,52.14166584440648,266.3736988498774,True
CAMP_007,Beauty,Instagram Reels,Review,2826495.6,229429,34414,18354,9.983988653652954,18317.666514727553,29971.857622982236,63.62268413874999,219.34687638611058,True
CAMP_008,Fashion,Instagram Reels,Review,1586089.2,182653,27397,14612,14.164524920792601,47066.35463175177,69573.5820707593,47.82020535710615,272.30631916106665,False
CAMP_009,Fitness,YouTube Shorts,Review,4824183.0,208240,31236,16659,5.309396430442212,43781.35394712606,66324.01171276424,51.48917457615073,216.82050929670916,True
CAMP_010,Fashion,TikTok,Review,3995610.0,353862,53079,28308,10.893180265341213,15636.968998990505,30522.143906671692,95.19220066652396,259.07507147407404,True
CAMP_011,Beauty,TikTok,Review,2703189.0,214494,32174,17159,9.75984291146494,42618.457138193364,69342.40683834678,62.70510829028634,217.44339980336207,True
CAMP_012,Beauty,YouTube Shorts,Comedy,2998089.0,427617,102628,34209,18.827126212730843,14634.762381005188,45596.19686632085,211.5608964413475,275.62971704366316,True
CAMP_013,Fashion,TikTok,Behind-the-Scenes,7100811.0,468757,63282,37500,8.02075988221627,33651.91150830909,64654.51721815235,92.12732448255824,292.13472568820833,True
CAMP_014,Food & Beverage,TikTok,Behind-the-Scenes,6687486.0,1082501,146137,86600,19.667151452728273,32451.08790277985,129804.3516111194,300.0,979.6105362560235,True
CAMP_015,Beauty,YouTube Shorts,Challenge,2066716.0,108589,29319,8687,7.093137131565247,18068.76809341585,29113.960810499,61.128642860317385,113.24102842763224,True
CAMP_016,Home & Living,Instagram Reels,Comedy,1228257.5999999999,55219,13252,4417,5.934260044472756,31593.643652066927,36758.945863481604,16.349181716103693,35.79921287104102,False
CAMP_017,Food & Beverage,YouTube Shorts,Behind-the-Scenes,3107213.0,514728,69488,41178,20.12716862345774,35336.15026041694,94561.98510139751,167.60692493240987,454.3000950197064,True
CAMP_018,Electronics,Instagram Reels,Behind-the-Scenes,4180772.4,283263,38240,22661,8.232067356740108,14883.518188026934,21857.117891920076,46.854511250593035,49.56965254577092,False
CAMP_019,Beauty,TikTok,Unboxing,6558378.0,608032,100325,48642,11.54247284923193,44429.223330253735,108838.34845215685,144.97018019679004,637.24261205199,True
CAMP_020,Beauty,Instagram Reels,Comedy,1721100.0,205230,49255,16418,15.740108070420082,22928.117280830207,43408.74587800329,89.32538309325804,170.24360626853274,True
CAMP_021,Beauty,Instagram Reels,Tutorial,4092013.1999999997,308503,60158,24680,9.61240789741343,20071.291833014566,41781.44929169587,108.16522244458137,271.07935366171046,True
CAMP_022,Beauty,TikTok,Unboxing,4751545.5,527214,86990,42177,13.814052711901843,26441.480532729252,60110.91426794213,127.33565994361346,398.42124334290185,True
CAMP_023,Beauty,YouTube Shorts,Behind-the-Scenes,2272809.0,146572,19787,11725,7.835414238503984,49426.01816442403,65213.555453364526,31.9417543133266,134.69037197857205,False
CAMP_024,Food & Beverage,YouTube Shorts,Tutorial,2608231.0,384416,74961,30753,18.791663775179423,28812.025377841535,82937.6972317116,187.8579209342794,602.1829102317607,True
CAMP_025,Beauty,TikTok,Review,3298222.5,332526,49878,26602,12.400800734334934,11631.005662190557,22453.023927308794,93.04456191864705,91.90171353510857,True
CAMP_026,Food & Beverage,Instagram Reels,Unboxing,5264144.399999999,827208,136489,66176,19.56392001708768,35806.911616378,125070.9511460556,249.29276360390836,749.5273402949088,True
CAMP_027,Fashion,TikTok,Unboxing,1313724.0,88394,14585,7071,8.376949800719178,18362.864829508548,22719.06741504001,23.722891966896032,36.429665648065864,False
CAMP_028,Electronics,Instagram Reels,Tutorial,5541504.0,366650,71496,29332,8.435940856489502,19674.091636018067,34983.92029961578,77.8172072532663,109.57383336431799,True
CAMP_029,Home & Living,YouTube Shorts,Tutorial,4942306.0,230965,45038,18477,5.958352234766524,39038.227154809574,67563.0026214941,73.06882905713672,205.64526454649027,True
CAMP_030,Beauty,YouTube Shorts,Tutorial,551157.0,36466,7110,2917,8.435527444992989,36759.530188569144,41615.85045166501,13.2110509524575,55.67369262880095,False
CAMP_031,Beauty,YouTube Shorts,Tutorial,2849487.0,143916,28063,11513,6.439474894954776,22214.55441377574,33371.30803445736,50.222720712161,117.63464377396602,True
CAMP_032,Home & Living,TikTok,Review,6008232.0,436983,65547,34958,8.945859613943004,29755.748607337384,53553.37381335363,79.97656358794504,274.6506928979909,True
CAMP_033,Food & Beverage,TikTok,Tutorial,6527631.0,816638,159244,65331,15.950855677963412,24708.63212237734,98834.52848950936,300.0,996.3296804840442,True
CAMP_034,Fitness,Instagram Reels,Comedy,1499263.2,111053,26652,8884,9.777402660186683,27375.774620417145,37663.74781403348,37.5805738331271,89.84318389715573,False
CAMP_035,Beauty,TikTok,Review,5734443.0,701008,105151,56080,15.036142132723265,40742.16057225236,103777.87150915519,154.71862574670033,421.77036160038074,True
CAMP_036,Fitness,TikTok,Behind-the-Scenes,6633867.0,690190,93175,55215,12.64089255934736,39908.750955896554,105794.69920018279,165.09148160787407,793.0896669417107,True
